Country,Variety,AvgPrice,AvgPoints,Tastings
Slovenia,Sauvignon Blanc,18 ,87 ,9 
Spain,Cabernet Sauvignon-Merlot,16 ,88 ,9 
Spain,Bordeaux-style Red Blend,45 ,87 ,9 
Spain,Tempranillo Blanco,29 ,84 ,9 
United States,Carignan,33 ,89 ,9 
United States,Fiano,21 ,88 ,9 
United States,Johannisberg Riesling,9 ,86 ,9 
Argentina,Cabernet Blend,36 ,88 ,8 
Argentina,Champagne Blend,23 ,85 ,8 
Argentina,Shiraz,9 ,84 ,8 
Australia,Champagne Blend,24 ,86 ,8 
Brazil,Sparkling Blend,29 ,86 ,8 
Canada,Vidal,45 ,91 ,8 
Chile,Carmenère-Cabernet Sauvignon,27 ,88 ,8 
Croatia,Malvasia,19 ,88 ,8 
Croatia,Posip,25 ,88 ,8 
France,Altesse,18 ,89 ,8 
France,Colombard-Ugni Blanc,10 ,85 ,8 
Germany,Scheurebe,20 ,88 ,8 
Germany,Red Blend,20 ,87 ,8 
Hungary,Red Blend,35 ,87 ,8 
Italy,Petit Verdot,38 ,90 ,8 
Italy,Cesanese d'Affile,22 ,88 ,8 
Italy,Nosiola,31 ,88 ,8 
Italy,Manzoni,23 ,87 ,8 
Mexico,Cabernet Sauvignon,33 ,84 ,8 
Moldova,Cabernet Sauvignon,14 ,88 ,8 
Morocco,Red Blend,19 ,90 ,8 
Portugal,Sousão,37 ,88 ,8 
Portugal,White Blend,21 ,88 ,8 
South Africa,Riesling,18 ,88 ,8 
Spain,Garnacha Tintorera,17 ,87 ,8 
Spain,Muscat,18 ,87 ,8 
Spain,Tempranillo-Shiraz,14 ,85 ,8 
Turkey,Okuzgozu,24 ,90 ,8 
United States,Picpoul,28 ,90 ,8 
United States,Syrah-Viognier,48 ,90 ,8 
United States,Cabernet Merlot,13 ,85 ,8 
United States,Chardonnay-Viognier,23 ,85 ,8 
Argentina,Malbec-Merlot,21 ,86 ,7 
Australia,Mourvèdre,50 ,91 ,7 
Australia,Tokay,47 ,91 ,7 
Austria,Grauburgunder,30 ,89 ,7 
Brazil,Merlot,19 ,84 ,7 
Bulgaria,Mavrud,14 ,88 ,7 
Canada,Cabernet Sauvignon,47 ,90 ,7 
Chile,Carmenère-Syrah,23 ,87 ,7 
Chile,Pedro Ximénez,11 ,84 ,7 
